video_id,unique_video_id,subject_id,date,start_time,duration_sec,supersed_gcp_name_dec24,superseded_gcp_name_feb25,date_birth_rounded,percent_english,participant_languages,age_days,age_mo
S00360001_2024-09-04_1_rec00by5o4qA3mq8o,rec00by5o4qA3mq8o,S00360001,2024-09-04,16:03:00,704.7,00360001_GX010015_09.02.2024-09.08.2024_09.04.2024-4:03pm,00360001_2024-09-04_1_ee3695d60b,2023-11-01,100,english,308,10.119304297829524
S00320001_2024-05-04_3_rec01yCVN6HGTC7rI,rec01yCVN6HGTC7rI,S00320001,2024-05-04,16:07:00,832.83,00320001_GX030058_04.29.2024-05.05.2024_05.04.2024-4:07pm,00320001_2024-05-04_3_bb0092f555,2023-02-15,99,"english,chinese,farsi",444,14.587568533234768
S00370002_2024-06-21_3_rec02pS1QJm16OuTc,rec02pS1QJm16OuTc,S00370002,2024-06-21,09:20:00,896.9,00370002_GX030051_06.17.2024-06.23.2024_06.21.2024-9:20am,00370002_2024-06-21_3_0a6e96509e,2023-05-01,0,japanese,417,13.700486662970492
S00370002_2024-12-08_1_rec04aGyWiA72s53i,rec04aGyWiA72s53i,S00370002,2024-12-08,12:19:00,1025.02,00370002_GX010031_12.02.2024-12.08.2024_12.08.2024-12:19pm,00370002_2024-12-08_1_931e638255,2023-05-01,0,japanese,587,19.28581695722705
S00370002_2024-06-09_3_rec05DL9m7EUcyr9E,rec05DL9m7EUcyr9E,S00370002,2024-06-09,10:13:00,691.86,00370002_GX030046_06.03.2024-06.09.2024_06.09.2024-10:13am,00370002_2024-06-09_3_e51d7ef27f,2023-05-01,0,japanese,405,13.306228053964146
S00360001_2024-11-16_2_rec06Bnm2YNlrXooQ,rec06Bnm2YNlrXooQ,S00360001,2024-11-16,08:17:00,1025.02,00360001_GX020046_11.11.2024-11.17.2024_11.16.2024-8:17am,00360001_2024-11-16_2_7140b437dd,2023-11-01,100,english,381,12.517710835951457
S00420001_2025-01-12_1_rec08pDLPP7kZgjAD,rec08pDLPP7kZgjAD,S00420001,2025-01-12,NA,704.7,NA,NA,2023-06-15,83,"english,malayalam,thai",577,18.957268116388427
S00220001_2025-02-19_1_rec0BvKt4JuSwJ1oG,rec0BvKt4JuSwJ1oG,S00220001,2025-02-19,17:43:00,704.7,NA,NA,2023-08-01,100,english,568,18.661574159633666
S00320003_2024-07-26_3_rec0Ci77c4xEPRSSM,rec0Ci77c4xEPRSSM,S00320003,2024-07-26,07:46:00,832.83,00320003_GX030100_07.22.2024-07.28.2024_07.26.2024-7:46am,00320003_2024-07-26_3_5390509fea,2023-06-15,88,"english,cantonese,tagalog",407,13.371937822131871
S00320001_2025-01-05_1_rec0D1L2pF5gGVIKe,rec0D1L2pF5gGVIKe,S00320001,2025-01-05,12:03:00,704.7,NA,NA,2023-02-15,99,"english,chinese,farsi",690,22.66987001786484
S00510002_2024-10-28_4_rec0DZarR5SWBUTvL,rec0DZarR5SWBUTvL,S00510002,2024-10-28,06:31:00,832.83,00510002_GX040001_10.28.2024-11.03.2024_10.28.2024-6:31am,00510002_2024-10-28_4_376de3b8d9,2023-05-15,100,english,532,17.478798332614634
S00370002_2024-05-12_3_rec0F19qV4JquPuuq,rec0F19qV4JquPuuq,S00370002,2024-05-12,18:10:00,499.43,00370002_GX030025_05.06.2024-05.12.2024_05.12.2024-6:10pm,00370002_2024-05-12_3_0820f7d968,2023-05-01,0,japanese,377,12.386291299616008
S00240001_2025-01-26_2_rec0Hc0aPte6eX7xZ,rec0Hc0aPte6eX7xZ,S00240001,2025-01-26,14:02:00,768.77,NA,NA,2023-04-01,68,"english,spanish",666,21.881352799852152
S00360001_2024-09-11_2_rec0Ks0zCcdKo8zOD,rec0Ks0zCcdKo8zOD,S00360001,2024-09-11,07:39:00,581.2,00360001_GX020018_09.09.2024-09.15.2024_09.11.2024-7:39am,00360001_2024-09-11_2_75112ef152,2023-11-01,100,english,315,10.349288486416558
S00380001_2025-02-17_3_rec0LPAcLhgDa3ink,rec0LPAcLhgDa3ink,S00380001,2025-02-17,09:01:00,242.16,NA,NA,2024-01-15,99,"english,russian",399,13.109098749460975
S00320002_2024-10-22_2_rec0McNRBdLL3Dat3,rec0McNRBdLL3Dat3,S00320002,2024-10-22,13:42:00,768.77,00320002_GX020046_10.21.2024-10.27.2024_10.22.2024-1:42pm,00320002_2024-10-22_2_a791534ce5,2023-06-15,100,english,495,16.263167621511734
S00360001_2024-08-28_2_rec0Nb4TnRlWjN3Ul,rec0Nb4TnRlWjN3Ul,S00360001,2024-08-28,07:04:00,693.18,00360001_GX020012_08.26.2024-09.01.2024_08.28.2024-7:04am,00360001_2024-08-28_2_911ab6c0e6,2023-11-01,100,english,301,9.88932010924249
S00510002_2024-07-01_3_rec0Nm9AZXEV90D9p,rec0Nm9AZXEV90D9p,S00510002,2024-07-01,NA,704.7,00510002_GX030005_07.01.2024-07.07.2024_07.01.2024-NA,00510002_2024-07-01_3_7be7471947,2023-05-15,100,english,413,13.569067126635044
S00240001_2024-07-21_1_rec0O8i4h2QLQ1x96,rec0O8i4h2QLQ1x96,S00240001,2024-07-21,16:22:00,768.77,00240001_GX010067_07.15.2024-07.21.2024_07.21.2024-4:22pm,00240001_2024-07-21_1_23cb0dadfb,2023-04-01,68,"english,spanish",477,15.671779708002218
S00400003_2024-06-15_1_rec0OvhPAO1lZRSUP,rec0OvhPAO1lZRSUP,S00400003,2024-06-15,16:00:00,1025.02,00400003_GX010053_06.10.2024-06.16.2024_06.15.2024-4:00pm,00400003_2024-06-15_1_9f862a9fbb,2023-02-01,84,"english,vietnamese",500,16.427442041931045
S00500001_2024-10-06_1_rec0PtDi9UBJpcuTQ,rec0PtDi9UBJpcuTQ,S00500001,2024-10-06,18:45:00,832.83,00500001_GX010043_09.30.2024-10.06.2024_10.06.2024-6:45pm,00500001_2024-10-06_1_e2d183b0cd,2022-08-15,0,"french,portuguese",783,25.725374237664017
S00420001_2024-06-28_2_rec0Q18Gfwd3SsGtG,rec0Q18Gfwd3SsGtG,S00420001,2024-06-28,14:44:00,578.68,00420001_GX020071_06.24.2024-06.30.2024_06.28.2024-2:44pm,00420001_2024-06-28_2_5a12149a50,2023-06-15,83,"english,malayalam,thai",379,12.452001067783732
S00420001_2024-06-07_1_rec0QbYWa0Nrz0nJ0,rec0QbYWa0Nrz0nJ0,S00420001,2024-06-07,11:55:00,704.7,00420001_GX010060_06.03.2024-06.09.2024_06.07.2024-11:55am,00420001_2024-06-07_1_f218cb6d98,2023-06-15,83,"english,malayalam,thai",358,11.762048502022628
S00400001_2024-05-01_1_rec0RDicaI22ZTP9V,rec0RDicaI22ZTP9V,S00400001,2024-05-01,08:23:00,960.96,00400001_GX010175_04.29.2024-05.05.2024_05.01.2024-8:23am,00400001_2024-05-01_1_9e382dde6b,2022-08-01,99,"english,spanish",639,20.994270929587877
