item,form,AM2018,FM2012,FMW2013,FPM2006,SEEDLingS,babyview,n_datasets,flag
all,WG/WS,allquant,allquant,allquant,allquant,Talk_all,all,6,manual_disambig
another,WG/WS,another,another,another,another,Talk_another,another,6,manual_disambig
baa baa,WG/WS,baabaa,baabaa,baabaa,baabaa,Talk_baabaa,baa_baa,6,manual_disambig
babysitter,WG/WS,babysttr,babysttr,babysttr,babysttr,Talk_babysitter,babysitter,6,manual_disambig
babysitter's name,WG/WS,babysittername,babysittername,babysittername,babysittername,Talk_babysittername,babysitter_name,6,manual_disambig
belly button,WG/WS,bllybttn,bllybttn,bllybttn,bllybttn,Talk_bellybutton,belly_button,6,manual_disambig
bicycle,WG/WS,bicycle,bicycle,bicycle,bicycle,Talk_bicycle,bicycle,6,manual_disambig
breakfast,WG/WS,breakfst,breakfst,breakfst,breakfst,Talk_breakfast,breakfast,6,manual_disambig
butterfly,WG/WS,buttrfly,buttrfly,buttrfly,buttrfly,Talk_butterfly,butterfly,6,manual_disambig
chicken (animal),WG/WS,chicken1,chicken1,chicken1,chicken1,Talk_chicken_animal,chicken.animal,6,manual_disambig
chicken (food),WG/WS,chicken2,chicken2,chicken2,chicken2,Talk_chicken_food,chicken.food,6,manual_disambig
child's own name,WG/WS,childname,childname,childname,childname,Talk_childname,child_own_name,6,manual_disambig
choo choo,WG/WS,choochoo,choochoo,choochoo,choochoo,Talk_choochoo,choo_choo,6,manual_disambig
church*,WG/WS,church,church,church,church,Talk_church,church,6,manual_disambig
clean (action),WG/WS,clean1,clean1,clean1,clean1,Talk_clean_action,clean.action,6,manual_disambig
clean (description),WG/WS,clean2,clean2,clean2,clean2,Talk_clean_descriptor,clean.description,6,manual_disambig
cock-a-doodle-doo,WG/WS,cockddld,cockddld,cockddld,cockddld,Talk_cockadoodledoo,cockadoodledoo,6,manual_disambig
comb,WG/WS,comb,comb,comb,comb,Talk_comb,comb,6,manual_disambig
daddy*,WG/WS,daddy,daddy,daddy,daddy,Talk_daddy,daddy,6,manual_disambig
don't,WG/WS,dont,dont,dont,dont,Talk_dont,dont,6,manual_disambig
dress (object),WG/WS,dress,dress,dress,dress,Talk_dress,dress,6,manual_disambig
drink (action),WG/WS,drink2,drink2,drink2,drink2,Talk_drink_action,drink.action,6,manual_disambig
drink (beverage),WG/WS,drink1,drink1,drink1,drink1,Talk_drink_beverage,drink.beverage,6,manual_disambig
dry (description),WG/WS,dry2,dry2,dry2,dry2,Talk_dry,dry;dry.description,6,manual_disambig
finish,WG/WS,finish,finish,finish,finish,Talk_finish,finish,6,manual_disambig
fire truck,WG/WS,firetrck,firetrck,firetrck,firetrck,Talk_firetruck,firetruck,6,manual_disambig
fish (animal),WG/WS,fish1,fish1,fish1,fish1,Talk_fish_animal,fish.animal,6,manual_disambig
fish (food),WG/WS,fish2,fish2,fish2,fish2,Talk_fish_food,fish.food,6,manual_disambig
foot,WG/WS,feet;foot,feet;foot,feet;foot,feet,Talk_foot,foot,6,manual_disambig
glasses,WG/WS,glasses,glasses,glasses,glasses,Talk_glasses,glasses,6,manual_disambig
grandma*,WG/WS,grandma,grandma,grandma,grandma,Talk_grandma,grandma,6,manual_disambig
grandpa*,WG/WS,grandpa,grandpa,grandpa,grandpa,Talk_grandpa,grandpa,6,manual_disambig
grrr,WG/WS,grr,grr,grr,grr,Talk_grr,grrr,6,manual_disambig
hammer,WG/WS,hammer,hammer,hammer,hammer,Talk_hammer,hammer,6,manual_disambig
high chair,WG/WS,highchar,highchar,highchar,highchar,Talk_highchair,high_chair,6,manual_disambig
ice cream,WG/WS,icecream,icecream,icecream,icecream,Talk_icecream,ice_cream,6,manual_disambig
kiss,WG/WS,kiss,kiss,kiss,kiss,Talk_kiss,kiss,6,manual_disambig
little (description),WG/WS,little,little,little,little,Talk_little,little,6,manual_disambig
living room,WG/WS,livingrm,livingrm,livingrm,livingrm,Talk_livingroom,living_room,6,manual_disambig
mommy*,WG/WS,mommy,mommy,mommy,mommy,Talk_mommy,mommy,6,manual_disambig
morning,WG/WS,morning,morning,morning,morning,Talk_morning,morning,6,manual_disambig
motorcycle,WG/WS,motrcycl,motrcycl,motrcycl,motrcycl,Talk_motorcycle,motorcycle,6,manual_disambig
necklace,WG/WS,necklace,necklace,necklace,necklace,Talk_necklace,necklace,6,manual_disambig
