"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"M6",0,0,-37175.006454824,198.941070354599,748.965959104295,7.26070519963638,74350.012909648,397.882140709199
"M5",-1078.62596878157,51.7618183516783,-38253.6324236053,207.073744690964,574.419096843858,4.76657697978232,76507.2648472105,414.147489381928
"M4",-1080.10360043977,51.941828231954,-38255.1100552637,207.626093246902,578.954338598834,4.81945913250192,76510.2201105274,415.252186493805
"M3",-3291.86623964691,85.7835305735096,-40466.8726944703,215.578412561038,392.483616125988,2.44580770576912,80933.7453889407,431.156825122077
"M2",-26581.0029096511,172.853229413491,-63756.0093644742,171.925188581286,351.066636167172,1.45192175728141,127512.018728948,343.850377162573
"M0",-34613.9755762726,202.421150882804,-71788.982031096,194.24693648388,394.714253163512,1.55457249891474,143577.964062192,388.49387296776
