"label","source","median","q25","q75","q025","q975","n"
"BERT (BookCorpus)","C&B BookCorpus",0.759089838383424,0.623929464445031,0.922057285559213,0.414913290694379,1.32403629214613,609
"BiLSTM (BookCorpus)","C&B BookCorpus",0.867028528554622,0.737226476648822,1.05884353174594,0.527645797921339,1.51993753313426,604
"GPT-2 (BookCorpus)","C&B BookCorpus",0.810397202042386,0.660847736013787,1.01364861623404,0.452515960183776,1.53883295933941,604
"Kids (English, M_best)","Children",10.2886100569347,7.96364658235808,12.5246106878302,3.58189633256061,17.0295597522136,5000
"Kids (Norwegian, M_best)","Children",12.4885115848045,10.1434475614563,14.7438436332581,5.72381474465768,19.2877403840771,5000
"LSTM (BookCorpus)","C&B BookCorpus",0.960766316839105,0.721180333405752,1.23375084558901,0.441293245245378,1.9028672201529,593
"gpt2_childes_seed123_partial (CHILDES)","Feng CHILDES",0.886100073458184,0.460557789870624,1.6218694940631,0.183153427637201,5.93006991899457,605
"gpt2_childes_seed42_partial (CHILDES)","Feng CHILDES",0.840658912110543,0.453045113041827,1.45896497802371,0.177724765896891,5.28521529958266,605
