"lexical_class","n","slope_log_p","r2","cor_psi_logp"
"function_words",50,-0.017,0.005,-0.071
"nouns",57,-0.17,0.227,-0.477
"other",42,0.109,0.09,0.3
"predicates",49,-0.034,0.007,-0.082
