"fit_name","sigma_r","sigma_xi_med","sigma_xi_q025","sigma_xi_q975","sigma_alpha_implied_med","sigma_alpha_implied_q025","sigma_alpha_implied_q975","pi_alpha_med","pi_alpha_q025","pi_alpha_q975"
"english_no_freq",0.3,1.79614785782366,1.63815698742591,1.98330262789689,1.7709170299995,1.61045282924056,1.96048190852415,0.972102946171594,0.966462438998417,0.977119551287829
"english_no_freq",0.4,1.79614785782366,1.63815698742591,1.98330262789689,1.75104172626584,1.58857115516039,1.94254712002331,0.950405237638389,0.94037766933052,0.959323646733919
"english_no_freq",0.5,1.79614785782366,1.63815698742591,1.98330262789689,1.72515133454993,1.55998663927989,1.9192418589963,0.922508183809983,0.906840108328937,0.936443198021748
"english_no_freq",0.534,1.79614785782366,1.63815698742591,1.98330262789689,1.71493181412246,1.5486776018973,1.91006107578996,0.911610974650078,0.893739591722586,0.927505586300358
"english_no_freq",0.65,1.79614785782366,1.63815698742591,1.98330262789689,1.67440948607194,1.50368158668702,1.87376340900811,0.869038830638872,0.842559783075904,0.892589004656754
"english_no_freq",0.8,1.79614785782366,1.63815698742591,1.98330262789689,1.60815021903201,1.42953080178618,1.81479731992132,0.801620950553557,0.76151067732208,0.837294586935674
"english_no_freq",1,1.79614785782366,1.63815698742591,1.98330262789689,1.49202785725212,1.29752006199723,1.71274321231053,0.690032735239933,0.62736043331575,0.745772792086991
"english_no_freq",1.2,1.79614785782366,1.63815698742591,1.98330262789689,1.33646815395641,1.11514945515265,1.57907862678715,0.553647138745503,0.46339902397468,0.633912820605267
"english_slopes",0.3,1.82679966863826,1.64636538204428,2.01322910097221,1.80199806585264,1.61880170840182,1.99075146939865,0.973031259704051,0.966796026459472,0.97779472726155
"english_slopes",0.4,1.82679966863826,1.64636538204428,2.01322910097221,1.78246936280444,1.59703443014466,1.9730918409545,0.952055572807202,0.940970713705728,0.960523959576088
"english_slopes",0.5,1.82679966863826,1.64636538204428,2.01322910097221,1.75704212508871,1.5686041473199,1.95015163839769,0.925086832511253,0.9077667401652,0.938318686837638
"english_slopes",0.534,1.82679966863826,1.64636538204428,2.01322910097221,1.74700916692963,1.55735768882971,1.94111705280914,0.914552243246315,0.894796530234191,0.929644813855494
"english_slopes",0.65,1.82679966863826,1.64636538204428,2.01322910097221,1.7072483795089,1.51261990295709,1.90541108754722,0.873396746944017,0.844125790879187,0.895758580755608
"english_slopes",0.8,1.82679966863826,1.64636538204428,2.01322910097221,1.64231453422756,1.438929800432,1.84745538843857,0.808222291228807,0.763882854822911,0.842095838304353
"english_slopes",1,1.82679966863826,1.64636538204428,2.01322910097221,1.52878939992848,1.30786810115406,1.74730976410169,0.700347330045011,0.631066960660798,0.753274747350551
"english_slopes",1.2,1.82679966863826,1.64636538204428,2.01322910097221,1.37738775561976,1.12717299866118,1.61650592663752,0.568500155264815,0.46873642335155,0.644715636184794
"norwegian_no_freq",0.3,2.1615444,1.909169815,2.3933870675,2.14062472030096,1.88545203651977,2.37451082412304,0.980737431858254,0.975308163206812,0.984288536398567
"norwegian_no_freq",0.4,2.1615444,1.909169815,2.3933870675,2.12421142854409,1.86679655603322,2.35972491046697,0.965755434414674,0.956103401256555,0.972068509153007
"norwegian_no_freq",0.5,2.1615444,1.909169815,2.3933870675,2.10292039629392,1.84253341383004,2.34057720488364,0.946492866272928,0.931411564463368,0.956357045551574
"norwegian_no_freq",0.534,2.1615444,1.909169815,2.3933870675,2.09454486539334,1.8329684615024,2.33305500398049,0.938968479099692,0.921766384304464,0.950219798725218
"norwegian_no_freq",0.65,2.1615444,1.909169815,2.3933870675,2.06149804587149,1.79511263712516,2.30343257984556,0.909572944001248,0.884085543943091,0.926243406982159
"norwegian_no_freq",0.8,2.1615444,1.909169815,2.3933870675,2.00805233823935,1.73347321247829,2.25572641226874,0.863021737658695,0.824413605026221,0.888274036612028
"norwegian_no_freq",1,2.1615444,1.909169815,2.3933870675,1.91631787370037,1.62632388384967,2.17446582903589,0.785971465091711,0.725646257853471,0.825428182206294
"norwegian_no_freq",1.2,2.1615444,1.909169815,2.3933870675,1.79785266164804,1.48490045789232,2.07082148768781,0.691798909732064,0.604930611308998,0.748616582377063
"norwegian_slopes",0.3,2.1658995,1.972026045,2.4117519175,2.14502229451832,1.94907329820683,2.39302054139867,0.980814818637173,0.97685712967989,0.984526903125599
"norwegian_slopes",0.4,2.1658995,1.972026045,2.4117519175,2.12864291131329,1.93103255318969,2.37834970337603,0.96589301091053,0.958857119430915,0.972492272223287
"norwegian_slopes",0.5,2.1658995,1.972026045,2.4117519175,2.10739665078884,1.90758662216673,2.35935315532444,0.946707829547702,0.935714249110805,0.957019175348886
"norwegian_slopes",0.534,2.1658995,1.972026045,2.4117519175,2.09903898098736,1.89834947280637,2.35189100757999,0.939213671370018,0.926674129677763,0.950975039863148
"norwegian_slopes",0.65,2.1658995,1.972026045,2.4117519175,2.06606404631971,1.8618234933061,2.32250883992299,0.909936231935617,0.89135708099726,0.927362406339618
"norwegian_slopes",0.8,2.1658995,1.972026045,2.4117519175,2.01273958651738,1.80246684270086,2.27520269679311,0.863572043642118,0.835428477723661,0.889969088893149
"norwegian_slopes",1,2.1658995,1.972026045,2.4117519175,1.92122894066363,1.69967253218714,2.19466337087193,0.786831318190809,0.74285699644322,0.828076701395545
"norwegian_slopes",1.2,2.1658995,1.972026045,2.4117519175,1.80308642094373,1.56489191730187,2.09201991180245,0.693037098194765,0.629714074878236,0.752430450009584
