"jj","log_p","median","q025","q975","psi_M_best_median"
1,-3.77664139023944,11.9740437961883,11.6884486412132,12.2548658400385,15.7506851864277
2,-15.2755439928461,9.4345242759263,9.1484378992782,9.72238533205377,24.7100682687724
3,-5.89360602743894,-2.30183502314561,-2.51581615964,-2.10526201780997,3.59177100429333
4,-10.2715976869006,9.03876011767225,8.73464111169675,9.34514141521404,19.3103578045729
5,-8.84824680101356,12.0270002301493,11.6351480255407,12.4310178927164,20.8752470311628
6,-6.8273793878403,5.27202349715965,5.03367816831311,5.49884996663376,12.0994028849999
7,-4.11403588858758,10.8200030262213,10.4907916101058,11.1713027686913,14.9340389148089
8,-8.65814101487162,4.04198147175088,3.79916692506162,4.2963961797402,12.7001224866225
9,-6.97650681123303,12.2483183044331,11.9437532687354,12.5664170879364,19.2248251156661
10,-7.12334597698431,10.214967992013,9.91175829866462,10.5225477305647,17.3383139689973
11,-10.7375825565515,11.177665403992,10.9134239974559,11.4563032888322,21.9152479605434
12,-11.9797071268418,9.03412971477368,8.75614732766257,9.32048696119701,21.0138368416155
13,-15.968691173406,5.91967631953983,5.58595726517345,6.27805603410142,21.8883674929459
14,-10.8997869711858,-0.269102357749511,-0.515310200662387,-0.0108436013400547,10.6306846134363
15,-7.25297504585784,9.43522898736806,9.16376949248157,9.70072759365749,16.6882040332259
16,-8.82113190221659,7.44831395637554,7.19265993537486,7.70578441298589,16.2694458585921
17,-5.73273940564624,2.35860278481343,2.12426786891234,2.59770031734969,8.09134219045967
18,-7.66592959270199,2.70077713623369,2.47378585127174,2.91222116271179,10.3667067289357
19,-8.4473731932068,5.86297920272653,5.65779406194199,6.08731127414973,14.3103523959333
20,-10.8447271940028,8.24713678990768,7.97568159975862,8.52431112668,19.0918639839105
21,-10.0076858337828,1.50653005529779,1.27003128326228,1.71624113333595,11.5142158890806
22,-8.04715554127249,7.72332763820188,7.36344647190275,8.11390600815083,15.7704831794744
23,-8.45826061702804,9.00580622761432,8.73363057244108,9.28891786751968,17.4640668446424
24,-9.06193639475749,4.04709563470866,3.81811176291002,4.29326910865088,13.1090320294662
25,-8.8047444890635,3.49667836985258,3.27908410676171,3.70489183405835,12.3014228589161
26,-7.5707320699135,6.55116907734452,6.29336869632982,6.82348117407657,14.121901147258
27,-8.22109433471316,4.60330967851409,4.38746346714255,4.83341344979256,12.8244040132272
28,-6.93080123842855,5.996056482095,5.76073310203038,6.23557144277473,12.9268577205235
29,-8.55592715597948,6.13029764363873,5.9069500220539,6.35576181131779,14.6862247996182
30,-8.13271659168448,7.37823847065995,7.12935092584227,7.6360280892069,15.5109550623444
31,-9.04900732355863,6.42625887451491,6.18168998660084,6.67612538491509,15.4752661980735
32,-7.45430190932254,8.0993918129119,7.82857184202762,8.37160601668372,15.5536937222344
33,-8.0954741185433,4.44843734314668,4.20245085657582,4.69171968749881,12.54391146169
34,-4.90194344204524,6.38870532226939,6.13356951726613,6.63164805294986,11.2906487643146
35,-8.0544388946636,6.46176321777112,6.20441217456662,6.72190233073725,14.5162021124347
36,-9.40342620337068,7.76077823966102,7.46409987844968,8.05167002455086,17.1642044430317
37,-7.66816256720631,5.26275368198119,5.04057525038994,5.47646617855528,12.9309162491875
38,-8.8008819890896,4.90323639560948,4.64267736581288,5.14684422346228,13.7041183846991
39,-15.968691173406,1.59350953874304,1.34764861784038,1.81938621785163,17.5622007121491
40,-15.968691173406,7.37495046845237,7.0388414819861,7.72818763996063,23.3436416418584
41,-15.968691173406,6.03582956957371,5.7661482620121,6.30559576392339,22.0045207429798
42,-9.87738129132835,8.07713381114254,7.75435664756761,8.42886243773934,17.9545151024709
43,-8.9264050014663,4.02076936312101,3.76226884795127,4.27757314187308,12.9471743645873
44,-11.2958623389441,5.24249125905444,5.02406433250407,5.46886118743206,16.5383535979986
45,-9.4020187436028,8.96748994021502,8.56428207290549,9.41512889492933,18.3695086838178
46,-7.94776345442447,4.90859221066605,4.6854948000803,5.12255662769296,12.8563556650905
47,-10.2549583678967,9.27232955203467,8.98146253167711,9.56208572167024,19.5272879199313
48,-8.19551749292351,11.3436128457721,11.0559384929666,11.6434592548724,19.5391303386956
49,-9.3093972537224,5.93183424570654,5.67610820730717,6.18114069849077,15.2412314994289
50,-7.44949997932713,11.8593974034973,11.5335893787697,12.2134665043023,19.3088973828244
51,-8.36979071653463,5.00604503837936,4.81437744757509,5.22013191876869,13.375835754914
52,-4.47724474011294,5.88968993430839,5.67048041170104,6.12187182811405,10.3669346744213
53,-6.10952130152104,6.5957901456885,6.38672576325219,6.81133845226715,12.7053114472095
54,-11.5866645387322,5.41099039442081,5.19697119358647,5.63477108381592,16.997654933153
55,-8.29966288481636,5.92312564681205,5.66140863055039,6.18761746673031,14.2227885316284
