"","SubjectID1","Sex","Study","AGE16M","AGE18M","AWCHr16M","CTCHr16M","CVCHr16M","AWCHr18M","CTCHr18M","CVCHr18M"
"1",11003,"F","TL3",17.2,19.8,2121.544604,57.88984302,142.2633047,1963.6264,85.147,252.1618
"2",11009,"F","TL3",16.1,18.4,3044.411826,107.0844442,294.2935027,1621.2478,76.41,290.2348
"3",11011,"M","TL3",15.8,18.5,1322.793103,39.82758621,178.5517241,1074.25,36.875,134.875
"4",11014,"M","TL3",15.5,17.7,1722.313472,76.74296698,186.196051,1687.4837,73.8348,211.0498
"5",11035,"M","TL3",15.9,19.2,2460.261632,70.98567253,188.8063635,2000.461,83.7252,244.7211
"6",11036,"M","TL3",16.2,18.9,1973.405405,104.3243243,360.2162162,2203.8384,143.7207,521.078
"7",11037,"M","TL3",15.5,18.2,2368.746269,42.35820896,125.5522388,2142.9029,50.6245,151.5704
"8",11070,"F","TL3",15.9,19.1,2273.547229,51.24523222,145.2995288,3232.5299,102.7038,235.0031
"9",11136,"M","TL3",17.3,19.4,2001.814029,126.5583104,294.7068754,1785.3873,128.4031,365.0343
"10",11141,"F","TL3",16.1,18.4,1216.855603,60.11365292,269.0951479,1625.7537,71.8057,301.8497
"11",11200,"F","TL3",15.9,18,428.6869917,28.02592093,256.3040925,810.7739,61.1156,365.8999
"12",11327,"M","TL3",15.8,18.3,1428.56987,57.15065056,147.3936881,924.6158,40.3496,168.5042
"13",11356,"F","TL3",15.2,18.4,951.850874,37.64059777,142.5780219,NA,NA,NA
"14",11417,"M","TL3",16.2,18.1,2146.402232,91.13015746,288.6386287,1328.418,38.5175,135.6416
"15",11611,"M","TL3",16.7,18.9,1345.838165,54.98204033,201.8044517,1507.9559,62.2436,224.7369
"16",11655,"M","TL3",16.7,19,1479.212574,31.2986267,102.0729988,1348.9411,57.9825,249.4378
"17",11743,"M","TL3",16.2,18,1597.826511,66.29791111,159.5366695,2616.6921,100.0306,224.6408
"18",11958,"F","TL3",17.7,20.2,2053.432991,74.56978967,273.6659134,2519.5221,98.3842,234.1871
"19",12095,"M","TL3",16,19.5,943.7502869,29.57998623,115.5106725,845.8889,44.6667,184
"20",12297,"F","TL3",16.3,18.3,1225.988971,51.11484057,199.0889475,1757.9713,79.3964,351.3371
"21",12316,"F","TL3",15.4,18.7,2050.94307,129.0534695,313.7567053,2421.5938,156.6882,449.641
"22",12390,"M","TL3",16.3,18.5,2163.28125,49.96875,131.71875,1954.7336,58.3382,221.0711
"23",12398,"F","TL3",16.6,18.6,1653.349969,78.33312539,322.5851528,2174.1819,60.4167,252.1599
"24",12409,"F","TL3",16.3,18.3,1392.893401,53.19796954,198.5786802,2083.1682,88.6954,251.4444
"25",12417,"M","TL3",17.1,19.5,1336.889214,26.19417298,103.6807014,1347.7009,53.3832,246.729
"26",12520,"F","TL3",17.2,20.1,2365.262001,61.52103668,131.4367567,2695.2363,66.5784,120.1134
"27",12547,"F","TL3",15.2,18.4,2260.052753,81.68164935,209.6786349,1721.9978,71.6192,202.5243
"28",12608,"F","TL3",15.2,18.6,1586.507917,77.10035215,300.8983542,1880.0937,125.3346,413.6417
"29",12612,"F","TL3",16.3,18.8,1042.500835,82.17347734,398.340942,1763.7034,117.6809,349.2674
"30",12683,"F","TL3",17.4,20.4,1903.862069,78.86896552,258.8689655,1555.7881,58.2325,250.0265
"31",12717,"M","TL3",16.7,18.8,1493.89202,52.0269042,238.7020542,1212.4287,73.4202,360.5027
"32",12724,"M","TL3",17.7,19.4,900.0261301,45.67546381,143.7157042,846.3971,30.6466,142.6731
"33",12737,"F","TL3",16.5,18.2,1113.424702,54.90259872,275.3914352,1632.0796,75,208.7389
"34",12828,"M","TL3",16.7,18.8,1636.604229,116.8700562,437.7334078,2781.4526,116.8786,279.7341
"35",12830,"M","TL3",17,18,1734.153846,65.74358974,170.0512821,1557.125,56.875,135.375
"36",12840,"F","TL3",17,18.7,640.5844658,35.99665666,170.3990341,994.4762,49.4624,200.4636
"37",12878,"F","TL3",16.2,18.5,1904.397112,76.21315251,277.3674267,1518.5055,62.4803,286.8769
"38",12959,"F","TL3",17.1,19.4,2226.339887,99.32669001,273.0945327,1564.4213,56.0096,243.5801
"39",12971,"F","TL3",15.8,18.5,992.1983983,28.31309739,93.82588478,1225.0547,71.2241,237.0096
"40",12973,"M","TL3",13.6,19.5,1314.610169,29.08474576,117.2542373,2426.6698,28.3078,66.4431
"41",13044,"F","TL3",15.8,18.3,1108.411539,55.35201025,257.0627143,1829.876,73.5735,221.6775
"42",13061,"F","TL3",16.8,19,3057.891297,84.619639,165.8001911,4284.6321,106.7479,184.9369
