Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
camping	14.630915	6.135296	12.676435	6.632505	3.595106	0.189224
can	12.009178	2.954476	11.269952	3.486183	1.501186	0.324117
candy	12.489390	5.236414	11.438468	5.562500	3.363022	0.336435
car	11.652151	3.286071	11.511356	3.543955	2.321230	0.533029
careful	11.049218	3.257133	10.935372	3.509300	2.426698	0.617844
carrots	11.811847	4.637755	10.378993	4.605585	3.583415	0.371167
carry	11.847192	4.665644	11.493412	5.231751	2.918905	0.517848
cat	11.163414	3.661121	11.020316	4.003514	2.579823	0.493280
catch	12.126466	3.805866	11.840545	3.615182	3.083575	0.662780
cereal	11.789365	5.739867	11.065138	5.462654	2.887050	0.967204
chair	11.436529	2.980898	12.059574	3.335100	2.404021	0.747114
chalk	14.019414	5.848804	11.569608	6.372690	3.646370	0.283225
chase	11.812521	7.060425	11.247059	7.434007	3.434280	0.406292
cheek	12.066625	6.527486	11.655564	6.617543	3.215896	0.775892
cheese	11.902440	3.727515	13.368856	3.253042	2.252296	1.126369
chicken	12.356204	4.017088	10.793616	3.069493	2.882110	1.031503
child	12.108722	6.273230	13.510031	3.007348	3.619370	1.833523
chin	12.272482	4.773705	10.831332	4.970680	3.427938	0.409052
chocolate	12.005790	4.878546	11.134015	5.453582	3.064370	0.214099
choo	11.988506	3.122737	11.848143	3.856837	2.817435	0.470776
church	12.932299	4.937329	11.558214	5.744894	3.393956	0.224016
circus	12.430260	3.473686	10.957520	3.857236	3.553184	0.372534
clap	11.217721	3.925595	9.440476	4.583933	3.730434	0.146089
clean	11.277104	4.080983	11.122001	1.771950	3.402378	1.429180
climb	11.819742	5.069916	12.294907	5.089413	2.617777	0.848126
clock	11.751519	3.918936	16.751519	2.410162	1.442495	2.109511
close	11.961223	4.108268	16.961223	-0.187479	2.314748	2.661528
closet	12.591352	4.247407	11.331010	3.997316	3.358383	0.638347
cloud	13.024563	4.485530	11.433424	5.177013	3.451797	0.283128
clown	11.460590	3.290318	10.902591	2.002689	3.533233	0.728607
coat	11.574475	4.905616	11.088105	5.458188	2.940340	0.493394
coffee	11.795490	3.512971	10.867749	3.585270	3.180206	0.439876
coke	14.560342	5.623829	12.322538	6.079048	3.609979	0.221134
cold	12.030611	3.873725	11.887388	3.726603	2.800475	0.819485
comb	11.951664	5.498870	10.997614	5.802665	3.305050	0.593171
