Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	11.211284	2.107439	11.321916	2.607032	1.322045	0.293844
about	10.757219	2.822952	13.514528	2.767998	1.414337	0.995220
above	11.567857	5.697406	11.092022	6.100950	3.551702	0.251868
after	11.420286	5.652024	13.193577	5.706722	1.649061	1.322066
airplane	12.417229	4.234644	11.726239	4.773371	3.005140	0.447738
all	11.580746	3.971604	11.968919	4.695632	1.488689	0.404392
alligator	11.841413	4.254309	10.487620	4.581702	3.564827	0.344257
am	12.019580	5.185560	12.347060	5.522358	1.984757	0.784170
and	11.930792	3.069458	11.407960	3.822032	1.400657	0.211435
animal	12.161299	5.208149	15.522830	5.035475	1.428198	1.380160
ankle	13.587244	7.007861	11.996463	7.865525	3.670304	0.263521
another	10.966084	3.503359	12.401528	3.937243	1.688072	0.812638
any	10.961184	3.292128	15.961184	3.071469	0.928537	1.342055
apple	11.658049	4.169098	12.242038	4.465373	2.114448	0.792660
are	11.526354	2.405515	12.071645	3.037843	1.546430	0.471538
arm	12.350261	3.722952	12.368903	3.988506	2.638118	0.707498
around	10.943082	3.319303	15.943082	1.068796	1.554900	2.172850
asleep	11.969846	3.591531	11.561133	3.739325	3.156260	0.425411
at	11.353367	1.066310	11.409525	1.979545	1.480654	0.317477
aunt	12.088608	7.508710	11.045327	7.557070	3.849679	0.307715
awake	12.032831	3.814424	11.067229	3.334998	3.711331	0.529277
away	12.292272	2.394816	14.375105	1.744386	2.089599	1.052263
baby	10.110660	2.435752	15.110660	2.928380	0.657269	1.110982
babysitter	13.216922	4.828332	11.910109	5.547918	3.661667	0.386060
back	11.866110	3.236750	16.866110	3.202796	1.005431	1.129807
backyard	11.956969	5.267991	10.876878	5.238485	3.588030	0.490957
bad	12.786110	4.674438	13.195821	3.929663	2.569382	1.092647
ball	11.846357	1.476487	16.541356	0.308150	1.509496	1.530122
balloon	11.311202	4.352387	11.128106	4.660028	2.895961	0.546564
banana	11.957743	4.789609	12.518562	4.686833	2.401023	0.912146
basement	13.068077	4.531464	12.575435	3.211286	3.618098	0.920622
basket	11.508751	2.902721	11.768247	2.281547	3.022020	0.812869
bat	12.490844	4.755420	11.320721	4.892026	3.302180	0.484727
bath	10.795837	2.875061	11.006065	2.629908	2.855669	0.748830
bathroom	11.986188	3.988659	11.499653	4.824425	3.050476	0.522571
bathtub	11.681858	5.752010	11.129192	6.937144	3.030601	0.563259
be	12.531989	2.836806	12.574370	3.431517	1.632879	0.309895
beach	12.712521	3.191029	11.361986	3.602837	3.092639	0.423929
beads	12.743412	5.219537	11.900059	5.233138	3.361289	0.732921
beans	11.950607	3.437050	10.561690	3.995215	3.412164	0.372421
bear	11.980692	2.771620	13.047367	2.595719	2.240376	0.921378
because	10.730853	4.638958	12.590770	5.025159	1.375014	0.876765
bed	12.398115	3.994086	12.739424	3.125244	2.601705	1.026428
bedroom	12.369634	3.714530	11.876325	4.336312	3.105263	0.400867
bee	11.917693	2.953265	16.917693	-1.609641	2.574869	2.595060
before	11.207802	4.917710	16.124276	-0.082290	2.480949	3.187487
behind	10.835941	3.141559	8.745606	3.463975	3.673793	0.180286
belly	11.666313	4.871503	14.275453	4.280473	1.749773	1.499174
belt	13.104462	5.189333	12.018150	5.288275	3.447352	0.458670
bench	13.812266	5.015436	12.299528	5.351408	3.518960	0.359749
beside	13.027273	7.064706	11.349705	7.683657	3.800131	0.248380
better	11.450804	4.171129	12.958821	2.370182	2.453997	1.684741
bib	11.193028	3.941031	11.862571	4.074056	2.898517	1.133109
bicycle	12.715676	3.861338	11.535269	4.212724	3.269510	0.405390
big	10.861458	4.676269	10.921474	5.364710	1.533077	0.286822
bird	12.002048	4.159203	12.593378	3.924500	2.398021	0.954347
bite	11.682051	3.799954	13.171987	2.701703	2.597268	1.352896
black	12.431535	3.800974	11.981584	3.338461	2.877992	0.735417
blanket	11.997895	4.297126	12.070306	4.641435	2.831600	0.690756
block	12.364079	3.556567	12.361491	2.434730	2.982467	1.094198
blow	11.182307	5.201973	10.806090	5.153535	3.150792	0.614685
blue	11.585538	3.732552	12.932459	3.251868	2.052499	1.118658
boat	13.453102	4.134006	12.237409	4.866540	2.671884	0.414528
book	11.463212	2.960688	13.619088	3.916540	1.228183	0.706310
boots	12.831680	4.444033	11.261294	4.623824	3.259728	0.313267
