subject_id,age,form,item_key,item,definition,category,produces,comprehends,is_production_vocab,item_canonical
720001,21,WS,baa_baa,baa baa,baa baa,sounds,1,NA,TRUE,TRUE
720001,21,WS,choo_choo,choo choo,choo choo,sounds,1,NA,TRUE,TRUE
720001,21,WS,cockadoodledoo,cock-a-doodle-doo,cockadoodledoo,sounds,0,NA,TRUE,TRUE
720001,21,WS,grrr,grrr,grrr,sounds,1,NA,TRUE,TRUE
720001,21,WS,meow,meow,meow,sounds,1,NA,TRUE,TRUE
720001,21,WS,moo,moo,moo,sounds,1,NA,TRUE,TRUE
720001,21,WS,ouch,ouch,ouch,sounds,0,NA,TRUE,TRUE
720001,21,WS,quack_quack,quack quack,quack quack,sounds,1,NA,TRUE,TRUE
720001,21,WS,uh_oh,uh oh,uh oh,sounds,1,NA,TRUE,TRUE
720001,21,WS,vroom,vroom,vroom,sounds,0,NA,TRUE,TRUE
720001,21,WS,woof_woof,woof woof,woof woof,sounds,1,NA,TRUE,TRUE
720001,21,WS,yum_yum,yum yum,yum yum,sounds,0,NA,TRUE,TRUE
720001,21,WS,alligator,alligator,alligator,animals,0,NA,TRUE,TRUE
720001,21,WS,animal,animal,animal,animals,0,NA,TRUE,TRUE
720001,21,WS,ant,ant,ant,animals,0,NA,TRUE,TRUE
720001,21,WS,bear,bear,bear,animals,0,NA,TRUE,TRUE
720001,21,WS,bee,bee,bee,animals,0,NA,TRUE,TRUE
720001,21,WS,bird,bird,bird,animals,1,NA,TRUE,TRUE
720001,21,WS,bug,bug,bug,animals,0,NA,TRUE,TRUE
720001,21,WS,bunny,bunny,bunny,animals,0,NA,TRUE,TRUE
720001,21,WS,butterfly,butterfly,butterfly,animals,0,NA,TRUE,TRUE
720001,21,WS,cat,cat,cat,animals,1,NA,TRUE,TRUE
720001,21,WS,chicken.animal,chicken (animal),chicken (animal),animals,1,NA,TRUE,TRUE
720001,21,WS,cow,cow,cow,animals,1,NA,TRUE,TRUE
720001,21,WS,deer,deer,deer,animals,0,NA,TRUE,TRUE
720001,21,WS,dog,dog,dog,animals,1,NA,TRUE,TRUE
720001,21,WS,donkey,donkey,donkey,animals,0,NA,TRUE,TRUE
720001,21,WS,duck,duck,duck,animals,0,NA,TRUE,TRUE
720001,21,WS,elephant,elephant,elephant,animals,0,NA,TRUE,TRUE
720001,21,WS,fish.animal,fish (animal),fish (animal),animals,1,NA,TRUE,TRUE
720001,21,WS,frog,frog,frog,animals,0,NA,TRUE,TRUE
720001,21,WS,giraffe,giraffe,giraffe,animals,0,NA,TRUE,TRUE
720001,21,WS,goose,goose,goose,animals,0,NA,TRUE,TRUE
720001,21,WS,hen,hen,hen,animals,0,NA,TRUE,TRUE
720001,21,WS,horse,horse,horse,animals,0,NA,TRUE,TRUE
720001,21,WS,kitty,kitty,kitty,animals,1,NA,TRUE,TRUE
720001,21,WS,lamb,lamb,lamb,animals,0,NA,TRUE,TRUE
720001,21,WS,lion,lion,lion,animals,0,NA,TRUE,TRUE
720001,21,WS,monkey,monkey,monkey,animals,0,NA,TRUE,TRUE
720001,21,WS,moose,moose,moose,animals,0,NA,TRUE,TRUE
720001,21,WS,mouse,mouse,mouse,animals,0,NA,TRUE,TRUE
720001,21,WS,owl,owl,owl,animals,0,NA,TRUE,TRUE
720001,21,WS,penguin,penguin,penguin,animals,0,NA,TRUE,TRUE
720001,21,WS,pig,pig,pig,animals,0,NA,TRUE,TRUE
720001,21,WS,pony,pony,pony,animals,0,NA,TRUE,TRUE
720001,21,WS,puppy,puppy,puppy,animals,0,NA,TRUE,TRUE
720001,21,WS,rooster,rooster,rooster,animals,0,NA,TRUE,TRUE
720001,21,WS,sheep,sheep,sheep,animals,0,NA,TRUE,TRUE
720001,21,WS,squirrel,squirrel,squirrel,animals,0,NA,TRUE,TRUE
720001,21,WS,teddybear,teddy bear,teddybear,animals,0,NA,TRUE,TRUE
720001,21,WS,tiger,tiger,tiger,animals,0,NA,TRUE,TRUE
720001,21,WS,turkey,turkey,turkey,animals,0,NA,TRUE,TRUE
720001,21,WS,turtle,turtle,turtle,animals,0,NA,TRUE,TRUE
720001,21,WS,wolf,wolf,wolf,animals,0,NA,TRUE,TRUE
