"label","sigma_alpha","pi_alpha","delta","sigma_zeta","beta_react","sigma_within","s"
"BabyView with-freq (io_slopes)","1.17 [0.86, 1.67]","0.85 [0.69, 0.93]","6.38 [5.96, 6.81]","2.61 [1.98, 3.45]","0.28 [-0.44, 1.01]","0.70 [0.69, 0.72]","0.52 [0.42, 0.62]"
"BabyView M_best (io_no_freq_slopes)","1.13 [0.86, 1.61]","0.84 [0.68, 0.93]","6.30 [5.87, 6.73]","2.50 [1.85, 3.32]","0.75 [0.05, 1.44]","0.70 [0.69, 0.72]","0.52 [0.43, 0.62]"
"SEEDLingS with-freq (io_slopes_seedlings)","2.62 [2.19, 3.22]","0.98 [0.97, 0.99]","8.06 [7.66, 8.44]","3.68 [3.07, 4.46]","-0.00 [-0.00, 0.00]","0.37 [0.35, 0.40]","0.54 [0.45, 0.64]"
"SEEDLingS M_best (io_no_freq_slopes_seedlings)","2.59 [2.13, 3.21]","0.98 [0.97, 0.99]","8.05 [7.65, 8.47]","3.62 [3.06, 4.34]","0.00 [-0.00, 0.00]","0.37 [0.35, 0.40]","0.55 [0.45, 0.65]"
